Final_Rank,Symbol,CompanyName,Live_Price,LiveMarketCap,ROC_Pct,EY_Pct,MagicFormula_Score,ROC_Rank,EY_Rank
1,BKNG,BKNG,$172.83,133922240094,145.65%,6.85%,17.0,9.0,8.0
2,PG,PG,$146.86,341978196000,154.57%,5.56%,22.0,8.0,14.0
3,BMY,BMY,$61.51,125607725700,84.09%,7.83%,23.0,18.0,5.0
4,IBM,IBM,$206.65,194227235250,200.51%,5.06%,25.0,6.0,19.0
5,GILD,GILD,$130.86,162471833712,85.54%,6.63%,27.0,17.0,10.0
5,NFLX,NFLX,$68.89,286853826531,329.57%,4.56%,27.0,4.0,23.0
7,PFE,PFE,$25.01,142542994400,56.25%,7.86%,31.0,27.0,4.0
8,PM,PM,$191.12,297871987200,203.64%,4.37%,33.0,5.0,28.0
9,QCOM,QCOM,$171.11,180349940000,58.0%,6.71%,34.0,25.0,9.0
10,MRK,MRK,$130.46,322212717200,55.9%,6.56%,39.0,28.0,11.0
11,LMT,LMT,$568.59,131096384760,65.09%,5.2%,40.0,23.0,17.0
12,CVS,CVS,$106.89,136384157700,73.77%,4.74%,41.0,20.0,21.0
12,DIS,DIS,$92.83,161200223300,44.11%,6.88%,41.0,34.0,7.0
14,PEP,PEP,$134.95,184341700000,46.79%,6.0%,43.0,30.0,13.0
15,JNJ,JNJ,$259.27,624119929400,103.77%,3.93%,44.0,13.0,31.0
16,AMGN,AMGN,$371.5,200501522000,88.36%,4.34%,45.0,16.0,29.0
16,UBER,UBER,$68.91,140273127986,118.81%,3.85%,45.0,12.0,33.0
16,HD,HD,$324.71,323773767229,53.3%,5.39%,45.0,29.0,16.0
19,DELL,DELL,$439.0,291606163977,837.07%,2.71%,49.0,1.0,48.0
20,AAPL,AAPL,$321.66,4724334930960,413.71%,2.78%,50.0,3.0,47.0
21,APP,APP,$398.86,133992841734,127.95%,3.07%,53.0,10.0,43.0
21,CSCO,CSCO,$112.76,444436172825,577.89%,2.58%,53.0,2.0,51.0
23,VZ,VZ,$43.82,182973039200,22.95%,8.03%,55.0,54.0,1.0
24,KO,KO,$81.17,349232301600,71.03%,3.61%,57.0,21.0,36.0
